1.00000000  0.00000000
0.98304074  0.00161292
0.96612875  0.00326034
0.94926797  0.00494464
0.93246232  0.00666684
0.91571568  0.00842662
0.89903189  0.01022253
0.88241471  0.01205203
0.86586791  0.01391169
0.84939517  0.01579725
0.83300013  0.01770376
0.81668642  0.01962568
0.80045758  0.02155703
0.78431712  0.02349146
0.76826852  0.02542235
0.75231518  0.02734296
0.73646046  0.02924644
0.72070772  0.03112601
0.70506020  0.03297494
0.68952114  0.03478673
0.67409373  0.03655510
0.65878107  0.03827405
0.64358628  0.03993799
0.62851237  0.04154168
0.61356234  0.04308036
0.59873913  0.04454971
0.58404563  0.04594591
0.56948468  0.04726566
0.55505909  0.04850620
0.54077159  0.04966524
0.52662491  0.05074108
0.51262168  0.05173248
0.49876453  0.05263875
0.48505600  0.05345965
0.47149861  0.05419544
0.45809486  0.05484678
0.44484713  0.05541477
0.43175781  0.05590086
0.41882924  0.05630686
0.40606371  0.05663490
0.39346344  0.05688734
0.38103063  0.05706678
0.36876745  0.05717603
0.35667598  0.05721801
0.34475831  0.05719577
0.33301643  0.05711243
0.32145233  0.05697113
0.31006795  0.05677501
0.29886515  0.05652717
0.28784581  0.05623063
0.27701171  0.05588832
0.26636462  0.05550304
0.25590627  0.05507743
0.24563833  0.05461395
0.23556243  0.05411488
0.22568018  0.05358228
0.21599314  0.05301801
0.20650281  0.05242368
0.19721069  0.05180068
0.18811820  0.05115015
0.17922675  0.05047304
0.17053770  0.04977003
0.16205238  0.04904158
0.15377205  0.04828798
0.14569798  0.04750928
0.13783139  0.04670537
0.13017341  0.04587596
0.12272522  0.04502064
0.11548789  0.04413884
0.10846250  0.04322991
0.10165008  0.04229311
0.09505160  0.04132766
0.08866804  0.04033271
0.08250030  0.03930743
0.07654929  0.03825099
0.07081585  0.03716261
0.06530079  0.03604158
0.06000490  0.03488723
0.05492894  0.03369903
0.05007361  0.03247656
0.04543960  0.03121954
0.04102757  0.02992785
0.03683811  0.02860152
0.03287183  0.02724080
0.02912927  0.02584609
0.02561094  0.02441800
0.02231735  0.02295735
0.01924893  0.02146515
0.01640612  0.01994262
0.01378930  0.01839119
0.01139883  0.01681247
0.00923504  0.01520827
0.00729823  0.01358058
0.00558865  0.01193155
0.00410656  0.01026348
0.00285213  0.00857883
0.00182555  0.00688016
0.00102696  0.00517015
0.00045645  0.00345157
0.00011412  0.00172723
0.00000000  0.00000000
0.00011412  -0.00169704
0.00045645  -0.00338815
0.00102696  -0.00506743
0.00182555  -0.00672916
0.00285213  -0.00836779
0.00410656  -0.00997802
0.00558865  -0.01155490
0.00729823  -0.01309382
0.00923504  -0.01459062
0.01139883  -0.01604159
0.01378930  -0.01744354
0.01640612  -0.01879379
0.01924893  -0.02009028
0.02231735  -0.02133147
0.02561094  -0.02251648
0.02912927  -0.02364499
0.03287183  -0.02471728
0.03683811  -0.02573422
0.04102757  -0.02669726
0.04543960  -0.02760837
0.05007361  -0.02847004
0.05492894  -0.02928521
0.06000490  -0.03005726
0.06530079  -0.03078989
0.07081585  -0.03148718
0.07654929  -0.03215339
0.08250030  -0.03279297
0.08866804  -0.03341049
0.09505160  -0.03401056
0.10165008  -0.03459772
0.10846250  -0.03517642
0.11548789  -0.03575091
0.12272522  -0.03632518
0.13017341  -0.03690290
0.13783139  -0.03748733
0.14569798  -0.03808125
0.15377205  -0.03868696
0.16205238  -0.03930614
0.17053770  -0.03993990
0.17922675  -0.04058865
0.18811820  -0.04125214
0.19721069  -0.04192941
0.20650281  -0.04261877
0.21599314  -0.04331781
0.22568018  -0.04402342
0.23556243  -0.04473179
0.24563833  -0.04543843
0.25590627  -0.04613821
0.26636462  -0.04682545
0.27701171  -0.04749391
0.28784581  -0.04813693
0.29886515  -0.04874745
0.31006795  -0.04931809
0.32145233  -0.04984130
0.33301643  -0.05030940
0.34475831  -0.05071471
0.35667598  -0.05104966
0.36876745  -0.05130688
0.38103063  -0.05147931
0.39346344  -0.05156034
0.40606371  -0.05154393
0.41882924  -0.05142464
0.43175781  -0.05119781
0.44484713  -0.05085964
0.45809486  -0.05040727
0.47149861  -0.04983885
0.48505600  -0.04915363
0.49876453  -0.04835198
0.51262168  -0.04743551
0.52662491  -0.04640697
0.54077159  -0.04527040
0.55505909  -0.04403100
0.56948468  -0.04269516
0.58404563  -0.04127041
0.59873913  -0.03976533
0.61356234  -0.03818942
0.62851237  -0.03655306
0.64358628  -0.03486732
0.65878107  -0.03314376
0.67409373  -0.03139428
0.68952114  -0.02963088
0.70506020  -0.02786545
0.72070772  -0.02610946
0.73646046  -0.02437368
0.75231518  -0.02266790
0.76826852  -0.02100058
0.78431712  -0.01937847
0.80045758  -0.01780629
0.81668642  -0.01628633
0.83300013  -0.01481802
0.84939517  -0.01339759
0.86586791  -0.01201758
0.88241471  -0.01066648
0.89903189  -0.00932826
0.91571568  -0.00798198
0.93246232  -0.00660136
0.94926797  -0.00515436
0.96612875  -0.00360277
0.98304074  -0.00190187
1.00000000  -0.00000000
