0         0
0.0025    0.0080
0.0050    0.0107
0.0100    0.0149
0.0200    0.0207
0.0400    0.0283
0.0800    0.0383
0.1200    0.0443
0.1800    0.0504
0.2200    0.0531
0.3000    0.0570
0.4000    0.0591
0.5000    0.0537
0.6000    0.0449
0.7000    0.0321
0.8000    0.0215
0.9000    0.0091
0.9500    0.0025
1.0000    0
0         0
0.0025   -0.0079
0.0050   -0.0128
0.0100   -0.0183
0.0200   -0.0231
0.0400   -0.0299
0.0800   -0.0386
0.1200   -0.0466
0.1800   -0.0541
0.2200   -0.0581
0.3000   -0.0648
0.4000   -0.0657
0.5000   -0.0621
0.6000   -0.0525
0.7000   -0.0397
0.8000   -0.0225
0.9000   -0.0099
0.9500   -0.0067
1.0000    0
